No	標準的な表記	読み	語彙の難易度	品詞1	品詞2(詳細)	語種
4	あ	ア	2.初級後半	名詞	名詞-普通名詞-一般	和語
3	亜	ア	6.上級後半	接頭辞	名詞-普通名詞-一般	漢語
5	ああ	アア	2.初級後半	感動詞	感動詞-一般	和語
6	ああ	アア	3.中級前半	感動詞	副詞	和語
7	アーケード	アーケード	4.中級後半	名詞	名詞-普通名詞-一般	外来語
8	アーチ	アーチ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
9	アーチスト	アーチスト	3.中級前半	名詞	名詞-普通名詞-一般	外来語
10	アート	アート	3.中級前半	名詞	名詞-普通名詞-一般	外来語
11	アーム	アーム	5.上級前半	名詞	名詞-普通名詞-一般	外来語
12	アーモンド	アーモンド	3.中級前半	名詞	名詞-普通名詞-一般	外来語
14	アール	アール	6.上級後半	名詞	名詞-普通名詞-一般	外来語
15	愛	アイ	2.初級後半	名詞	名詞-普通名詞-一般	漢語
16	アイアン	アイアン	6.上級後半	名詞	名詞-普通名詞-一般	外来語
17	愛煙家	アイエンカ	6.上級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
18	相方	アイカタ	6.上級後半	名詞	名詞-普通名詞-一般	和語
20003	相変わらず	アイカワラズ	5.上級前半	名詞	接頭辞 and 動詞-一般 and 助動詞	和語
19	哀願	アイガン	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
20	ＩＱ	アイキュー	5.上級前半	名詞	名詞-普通名詞-一般	外来語
22	愛敬	アイキョウ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
23	愛犬	アイケン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
24	愛護	アイゴ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
25	愛好	アイコウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
26	愛国	アイコク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
27	愛国心	アイコクシン	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
28	合い言葉	アイコトバ	5.上級前半	名詞	名詞-普通名詞-一般	和語
29	挨拶	アイサツ	1.初級前半	名詞	名詞-普通名詞-サ変可能	漢語
31	愛車	アイシャ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
32	哀愁	アイシュウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
33	相性	アイショウ	4.中級後半	名詞	名詞-普通名詞-一般	混種語
34	愛称	アイショウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
35	愛情	アイジョウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
36	愛人	アイジン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
37	アイス	アイス	1.初級前半	名詞	名詞-普通名詞-一般	外来語
38	合図	アイズ	4.中級後半	名詞	名詞-普通名詞-サ変可能	混種語
39	アイスクリーム	アイスクリーム	1.初級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
40	アイスコーヒー	アイスコーヒー	1.初級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
41	アイススケート	アイススケート	2.初級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
42	愛する	アイスル	3.中級前半	動詞3類	動詞-一般	混種語
43	愛想	アイソ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
44	間	アイダ	2.初級後半	接尾辞	名詞-普通名詞-副詞可能	和語
45	間柄	アイダガラ	5.上級前半	名詞	名詞-普通名詞-一般	和語
46	愛着	アイチャク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
48	あいつ	アイツ	4.中級後半	代名詞	代名詞	和語
49	相次ぐ	アイツグ	5.上級前半	動詞1類	接頭辞 and 動詞-一般	和語
50	あいづち	アイヅチ	4.中級後半	名詞	名詞-普通名詞-一般	和語
51	相手	アイテ	3.中級前半	名詞	名詞-普通名詞-一般	和語
52	アイディア	アイディア	3.中級前半	名詞	名詞-普通名詞-一般	外来語
54	ＩＴ	アイティー	2.初級後半	名詞	名詞-普通名詞-一般	外来語
56	相手方	アイテカタ	6.上級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	和語
57	相手役	アイテヤク	6.上級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	和語
58	アイデンティティー	アイデンティティー	5.上級前半	名詞	名詞-普通名詞-一般	外来語
59	愛読	アイドク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
20004	あいにく	アイニク	5.上級前半	副詞	副詞	和語
60	アイヌ	アイヌ	6.上級後半	名詞	名詞-固有名詞-一般	外来語
61	相乗り	アイノリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
62	相棒	アイボウ	6.上級後半	名詞	名詞-普通名詞-一般	混種語
63	合間	アイマ	5.上級前半	名詞	名詞-普通名詞-一般	和語
65	曖昧	アイマイ	4.中級後半	ナ形容詞	形状詞-一般	漢語
66	愛用	アイヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
67	アイルランド	アイルランド	3.中級前半	名詞	名詞-固有名詞-地名-国	外来語
68	アイロン	アイロン	2.初級後半	名詞	名詞-普通名詞-一般	外来語
69	会う	アウ	1.初級前半	動詞1類	動詞-一般	和語
70	合う	アウ	2.初級後半	動詞1類	動詞-非自立可能	和語
71	遭う	アウ	3.中級前半	動詞1類	動詞-一般	和語
72	合う	アウ	3.中級前半	動詞1類	動詞-一般	和語
73	アウト	アウト	3.中級前半	名詞	名詞-普通名詞-一般	外来語
74	アウトドア	アウトドア	3.中級前半	名詞	名詞-普通名詞-一般	外来語
75	喘ぐ	アエグ	6.上級後半	動詞1類	動詞-一般	和語
76	敢えて	アエテ	5.上級前半	副詞	副詞	和語
77	和え物	アエモノ	6.上級後半	名詞	名詞-普通名詞-一般	和語
78	和える	アエル	6.上級後半	動詞2類	動詞-一般	和語
79	亜鉛	アエン	6.上級後半	名詞	名詞-普通名詞-一般	漢語
80	青	アオ	1.初級前半	名詞	名詞-普通名詞-一般	和語
81	青々	アオアオ	4.中級後半	副詞	副詞	和語
82	青い	アオイ	1.初級前半	イ形容詞	形容詞-一般	和語
83	青色	アオイロ	2.初級後半	名詞	名詞-普通名詞-一般	和語
84	仰ぐ	アオグ	5.上級前半	動詞1類	動詞-一般	和語
85	青信号	アオシンゴウ	2.初級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
86	青空	アオゾラ	3.中級前半	名詞	名詞-普通名詞-一般	和語
87	青葉	アオバ	5.上級前半	名詞	名詞-普通名詞-一般	和語
88	青虫	アオムシ	6.上級後半	名詞	名詞-普通名詞-一般	和語
89	あおる	アオル	6.上級後半	動詞1類	動詞-一般	和語
