original,simplified,generated,sari,bleu,bert_f1,bert_pre,bert_rec
彼らは凍死した。,彼らは寒くなりすぎて、死んでしまった。,彼らは寒くて死んだ。,91.66666666666666,0.3116039383877759,0.9048112034797668,0.9397739171981812,0.872356653213501
では始めましょう。,では始めましょう。,では始めましょう。,100.0,1.0,1.0,1.0,1.0
その子供たちは歌いながら去って行った。,その子供たちは歌いながらどこかへ行った。,その子供たちは歌いながら出て行った。,91.66666666666666,0.5928902071159559,0.9240274429321288,0.945746123790741,0.9032838940620422
彼はクラスの他のどの少年よりも速く泳げる。,彼はクラスの他のどの少年よりも速く泳ぐことができる。,彼はクラスの他のどの少年よりも速く泳ぐことができる。,100.0,0.9000876262522594,1.0,1.0,1.0
彼女は私の成功をねたんでいる。,彼女は私の成功を悪く思っている。,彼女は私の成功を見て自分もそうなりたいと思っている。,91.66666666666666,0.5260093017679724,0.8906809091567993,0.8506802916526794,0.9346289038658142
私はこのペンに１００ドルも払った。,私はこのペンに１００ドルも払った。,私はこのペンに１００ドルも払った。,100.0,1.0,1.0,1.0,1.0
私は記憶力が不足している。,私は記憶力が不足している。,私は記憶力が不足している。,100.0,1.0,1.0,1.0,1.0
これから先何をすべきか分からない。,これから先何をするべきか分からない。,これから先何をするべきか分からない。,100.0,0.8751733190429475,0.9999998807907104,0.9999998807907104,0.9999998807907104
彼ならそれくらいの事はいいかねない。,彼ならそれくらいの事はいってもおかしくない。,彼ならそれくらいの事はいいかも。,91.66666666666666,0.5059974314883426,0.9021309018135072,0.9272921681404114,0.8782990574836731
彼との子供のころから仲良しだ。,彼と子供の頃からの友達だ。,彼との子供の頃から仲がよい。,91.66666666666666,0.3870605144677148,0.8644856214523315,0.8543384075164795,0.874876856803894
あなたの姉さんはピアノが上手ですね。,あなたの姉さんはピアノがうまいですね。,あなたの姉さんはピアノがうまいですね。,100.0,0.8751733190429475,0.9999999403953552,0.9999999403953552,0.9999999403953552
多くの外国人が働くために日本にやって来る。,多くの外国人が働くために日本にやって来る。,多くの外国人が働くために日本にやって来る。,100.0,1.0,1.0,1.0,1.0
会議の議長が病気になった。,会議の偉い人が病気になった。,会議の会議をまとめる人が病気になった。,91.66666666666666,0.6739047062564734,0.8844209313392639,0.8630936741828918,0.906828999519348
君も一緒に来たいか。,あなたも一緒に来たいか。,あなたも一緒に来たいか。,100.0,0.846481724890614,0.9999998807907104,0.9999998807907104,0.9999998807907104
彼は食物をくれと頼んだ。,彼は食べるものをくれと頼んだ。,彼は食べるものをくれと頼んだ。,100.0,0.8668778997501817,1.0000001192092896,1.0000001192092896,1.0000001192092896
突然彼らは話すのをやめた。,突然彼らは話すのをやめた。,突然彼らは話すのをやめた。,100.0,1.0,1.0,1.0,1.0
ケーキをどうぞ。,ケーキをどうぞ。,ケーキをどうぞ。,100.0,1.0,1.0,1.0,1.0
経済はすぐによくなると我々は考えている。,経済はすぐによくなると私たちは考えている。,経済はすぐによくなると私たちは考えている。,100.0,0.8948393168143697,1.0000001192092896,1.0000001192092896,1.0000001192092896
ブラウン家の人々はみんな私に親切でした。,ブラウン家の人々はみんな私に親切でした。,ブラウン家の人々はみんな私に親切でした。,100.0,1.0,1.0,1.0,1.0
どんな仕事をするのですか。,どんな仕事をするのですか。,どんな仕事をするのですか。,100.0,1.0,1.0,1.0,1.0
もう一度イギリスを訪れたいと思っている。,もう１度イギリスを訪れたいと思っている。,もう１度イギリスを訪れたいと思っている。,100.0,0.8824969025845955,1.0,1.0,1.0
君が見ているあの絵は１０万円するよ。,あなたが見ているあの絵は１０万円するよ。,あなたが見ているあの絵は１０万円するよ。,100.0,0.8948393168143697,1.0000001192092896,1.0000001192092896,1.0000001192092896
そうとも言えるね。,そうとも言うことができるね。,そうとも言うことができるね。,100.0,0.8574039191604413,1.000000238418579,1.000000238418579,1.000000238418579
あまり酒を飲み過ぎるのは、危険だ。,あまり酒を飲み過ぎるのは、危険だ。,あまり酒を飲み過ぎるのは、危険だ。,100.0,1.0,1.0,1.0,1.0
私は彼が無実であると思った。,私は彼が犯罪をしていないと思った。,私は彼が悪いことをしていないと思った。,91.66666666666666,0.750693572887501,0.9418583512306212,0.9419203400611876,0.9417963027954102
私は休暇の大部分を叔父の家で過ごした。,私は休みの日の大部分をおじの家で過ごした。,私は休みの大部分をおじの家で過ごした。,91.66666666666666,0.7602316698392207,0.9822745323181152,0.9897663593292236,0.9748953580856324
洋子は来週京都へ行くだろう。,洋子は来週京都へ行くだろう。,洋子は来週京都へ行くだろう。,100.0,1.0,1.0,1.0,1.0
君にはぼくというよい友達が居る。,あなたには私と言うよい友達が居る。,あなたには私と言うよい友達が居る。,100.0,0.8668778997501817,1.0000001192092896,1.0000001192092896,1.0000001192092896
私は一日中忙しかった。,私は１日中忙しかった。,私は１日中忙しかった。,100.0,0.8337529180751805,1.0000003576278689,1.0000003576278689,1.0000003576278689
君は僕の邪魔をしている。,あなたは僕の邪魔になっている。,あなたは僕の邪魔をしている。,91.66666666666666,0.6065997433337675,0.9764373302459716,0.9764373302459716,0.9764373302459716
