	text	label
23623	順番をお待ちください。	1
23576	私はその話に感動して涙した。	1
46431	私は友達を３０分待ったが、来なかった。	1
7282	今や彼には何の生きがいもない。	0
61253	この辞書は全く役に立たない。	1
1668	あなたの仕事を終えましたか。	0
22877	きのうようやく彼に会った。	0
36644	もう私は休みを取ってよいところだ。	1
53129	私はその女性を全く知らない。	1
50658	何か冷たい飲む物をください。	1
7902	６時ごろ車で迎えに行きます。	0
3730	仕事を終えたら電話します。	0
30451	このテレビはどこか具合が悪い。	1
50591	彼女は本を書くのに集中している。	1
33530	全ての学生が参加している。	1
19608	彼女に謝ったほうがいいですよ。	0
29717	列車は何時に着くか調べてみよう。	1
62413	彼らについていく必要はない。	1
13048	わたしはわたしに道をひらいてくれた人を尊敬する。	0
38770	彼は息子に会いたいと思っていた。	1
4424	あなたは昨晩疲れていましたか。	0
41428	昨日ここに来た女性は山田さんだ。	1
16685	古い家が取り壊された。	0
25141	風が止まった。	1
62483	彼女との関係をなおした。	1
33587	母が家族では一番早く起きる。	1
39105	トムは正直なので好きだ。	1
39459	部屋を片付けるのを手伝ってくれませんか。	1
28941	それは非常に役に立つ。	1
25996	彼には獲物が何もなかった。	1
40594	あなたはここに座っていさえすればいい。	1
32902	田中さん、電話ですよ。	1
56918	事件の事実を知っておいた方がいい。	1
53118	これが私が必要とするものです。	1
13530	彼も人なり我も人なり。	0
55069	彼らはドアを押して開けた。	1
6405	自分のペースでやってください。	0
25487	私の両親は彼女の友達をよく知っている。	1
41405	彼は京都に住んでいる。	1
37911	お願いしたいことをお聞きしましょうか。	1
62925	人生は楽しい。	1
5968	たばこは健康に悪いことは言うまでもない。	0
36165	あなたの周囲を見ろ。	1
58538	話は決まった。	1
19076	その計画では彼に同調できました。	0
23701	私はこの事故とは無関係です。	1
62197	あなたの夢は近い将来実現するでしょう。	1
40773	ジュディーさんはみんなに親切です。	1
22327	あなたは上手に踊れるようになるだろう。	0
50461	私の車はどこにありますか。	1
30366	テレビをつけて。	1
49465	学生たちはみんな家に帰りました。	1
36434	頭がはっきりしてきた。	1
16745	カッコーは春にここにやってくる。	0
28375	彼は彼女をずっと見た。	1
2488	政府はその要求を却下した。	0
48594	あなたの意見に賛成します。	1
24925	彼女は泣きながらその話をした。	1
46882	どうしてそんなに遅くなったの。	1
40512	傘を持っていった方がいいよ。	1
21259	腕をふるって料理をしましょう。	0
16199	その本はやさしかった。	0
8219	私はなけなしの金を盗まれてしまった。	0
9855	彼女の職業は何ですか。	0
51044	楽しい週の最後をね。	1
21898	彼はほとんど死んだも同然だ。	0
3397	濃霧のために私達は何も前が見えなかった。	0
9025	私は硬貨で払った。	0
33134	彼は良い少年に違いない。	1
30505	できるまでここで待っています。	1
17397	上出来でしたね。	0
58532	彼はあなたにそのことを話したか。	1
60925	私たちは昼の食事の後テレビを見た。	1
52938	異なる部屋にしてください。	1
15867	どうぞこれを英語に直してください。	0
17230	彼は心配のあまりほとんど眠れなかった。	0
16739	それまでは彼はそのことに思いつかなかった。	0
18027	貴方は、御茶を飲みます。	0
52908	私は彼より３歳下です。	1
33811	列車は予定通りに着いた。	1
7017	よろしかったら明日うかがいます。	0
18376	彼は声をおとした。	0
6752	彼に会う機会を見送った。	0
62472	私はもうこれ以上歩くことができない。	1
57025	私の夢は、地方で静かな生活を送ることだ。	1
31913	運動の後は休みをとるべきだ。	1
23331	あなたの答えには間違いが多すぎます。	1
44574	先生はジョンによい物を与えた。	1
25755	トムは病気のため食べたいと思うことがなかった。	1
9387	私はその仕事を辞退したい。	0
54215	誰も電話に出なかった。	1
16145	きみが出かけた直後に彼が訪ねてきた。	0
53326	１０年ぶりに、彼は家に戻った。	1
27397	彼女は１０時に電気を全て消した。	1
17523	君はどれくらいよく海外に行きますか。	0
41095	もっと静かに話してください。	1
23572	ここに切ってできた怪我があります	1
52030	彼はあなたが馬鹿だと言ったのと同じだ。	1
249	私は朝一時間散歩をすることにしている。	0
57285	お客様は？	1
61291	できるだけ辛くしてください。	1
52633	私は間違ってすみませんと謝った。	1
19550	彼は早寝早起きをすることにしている。	0
17268	私はパーティーに招待された。	0
40649	私と彼はいつも気が合う。	1
18312	彼はアメリカへ行きたがっています。	0
16964	彼はもう宿題を終えてしまいましたか。	0
7499	カップが割れた。	0
54580	トムと私の秘密が知られてしまった。	1
28764	彼は勉強だけでなく運動も好きだ。	1
2660	私たちのもめごとも終わりが見えている。	0
5414	父はいそがしすぎて散歩もできません。	0
29026	火は消えた。	1
60839	毎日朝、何時に起きますか。	1
48070	お店で新しい帽子を勝った。	1
24346	外を見ると雨が降り始めている。	1
4270	その子ども達は十分な世話を受けた。	0
20321	僕は彼女の手を掴んだ。	0
29609	部屋に鍵を忘れました。	1
37970	私たちはその話を聞いてみんな驚いた。	1
9936	彼女の話は真実ではないと思う。	0
25148	私が恋をしているように聞こえますか。	1
50476	午前中に電話をすると高くなりますか。	1
46998	その物をみんなに見せる会は十分訪れる価値がある。	1
55665	彼は４時に戻るでしょう。	1
48802	彼はなんとか１週間の休みを手に入れた。	1
39405	あなたは親の元から出られるか。	1
5727	窓を開けてくれ。ここは暑くてたまらない。	0
13616	私は通りで偶然旧友に出会った。	0
49580	私は友達がいないことは幸せではないと思う。	1
25210	あの少年はこっちへくるようです。	1
58554	彼は今にも泣きそうだ。	1
32153	このお茶は熱が高くて飲むことができない。	1
34504	私たちを我慢できるなら夜を過ごさせてください。	1
6158	有名なブランドですね。	0
26474	彼には気を許すな。	1
32737	今すぐにも雨が降りそうだ。	1
35617	なぜあなたは彼の家へ行ったのですか。	1
59210	私たちは長い間公園で待ちました。	1
12736	誰もが彼女のことを誉める。	0
27755	あなたは相変わらず同じような電話しくれない。	1
43178	でも彼女、大問題を持っているのです。	1
34660	非常に強い雨が降っている。	1
6655	この本に何か魅力感じますか。	0
59018	ここからタクシーで行くといくらくらいかかりますか。	1
34898	彼女は私にとてもよくしてくれた。	1
50416	この地では冬はたくさん雪が降る。	1
42196	その会社は金を全て失った。	1
49192	この点では何も言うことはない。	1
40875	仕事を協力してくれる人を一人探している。	1
345	私は息子の安否をずっと心配しています。	0
18124	新聞はそのニュースを報じなかった。	0
18498	あの木のてっぺんを見てごらん。	0
14824	走りさえすれば、どんな車でもよいのです。	0
20476	つい最近になって初めて彼女は考えを変えた。	0
48334	彼と一緒だと気が楽だ。	1
56202	私は運よく健康でいる。	1
61855	あの競争を見るのは楽しい。	1
52793	国際電話をかけたいのですが。	1
15713	人間は鋳型に入れて作るわけにはいかない。	0
51700	私はテニスをする人です。	1
52839	彼女は頭がおかしい。	1
24971	老人が突然私に声をかけた。	1
32187	ピアノってなんて高いんだろう！	1
24413	ちょっと疲れてしまって。	1
10496	それを逆さまに持ってはいけません。	0
37092	なぜあなたは東京に行ったのですか。	1
22783	我々はその事について話し続けた。	0
38816	取ったものを返すはどうしたらいいのですか。	1
7662	一体全体君は何をしているんだ。	0
52500	電話で誰と話していたのですか。	1
32938	どんな子供でもそれをすることができます。	1
47661	近くお会いできるのを楽しみにしています。	1
15544	彼は成功を望んだ。	0
34787	これこそ私の欲しいものです。	1
13567	彼女は昼食の手伝いをした。	0
54564	あなたの家の近くに住むことができたらいいのに。	1
46628	彼はアメリカへ行ったが無駄ではなかった。	1
18872	何が起こるか分らない。	0
3273	彼らはフランス語をうまく使いこなせる。	0
57359	プレゼントをどうぞ。	1
6382	彼はこの数年間ずっと身体の具合が良くない。	0
19262	英語かフランス語かどっちか話せる。	0
19435	２台の車をもつ人はかなり多い。	0
35733	彼女はあなたに会いたいと思っている。	1
31270	その動物園には変わった動物がいます。	1
53364	私はチケットをお金なしで手に入れた。	1
25709	鳥になりたいな。	1
9002	我々これらの問題どうにもならない。	0
59401	僕は笑わずにはいられなかった。	1
57648	相手の方がお出になりました。	1
19942	あなたに以前会ったことがあるように思う。	0
4066	彼女は仕事が非常にきちょうめんだ。	0
45617	誕生日のパーティーに呼んでくださってありがとう。	1
57628	あなたの時間のいい時に会いに来てください。	1
26013	もうどのくらい東京にいるのですか。	1
27278	ジョーは昨日の夜あなたと一緒でしたか。	1
19187	ケーキを自由に召し上がって下さい。	0
55186	これ以上のものは期待できない。	1
11060	彼は早起きを信条にしていた。	0
20254	この次に償いをするよ。	0
24019	長い木は彼に何の役にも立たなかった。	1
54796	あなたがそれをする必要がない。	1
33119	明日会へ来ることができますか。	1
10951	私のためにご心配はご無用に願います。	0
29379	いつ出発するの？	1
21339	彼は自分の金すべてをくれてやった。	0
60849	彼女はバスに鞄を忘れるほど不注意だった。	1
8391	君はどっちのベッドを使いたい？	0
25676	父から私にコンピューターゲームが与えられた。	1
2051	これが去年私が設計した庭です。	0
21057	サミットが開かれるのはこの部屋です。	0
22158	私の紹介をさせていただきます。	0
16825	私はまだ宿題を終えていない。	0
31344	彼の話はさらに面白くなっていくでしょう。	1
30618	そんなふうに考えるのはやめよう。	1
25991	ちょっと電話をかけたいと思った。	1
40202	私は彼にネクタイを買ってあげた。	1
15508	あす事務所にあなたをお訪ねしましょう。	0
43973	私はその時死んだのと同じだった。	1
31772	その男は１つの箱を持っている。	1
6943	私達は彼を待たねばなりません。	0
44459	誰がこの赤ちゃんを世話してくれるの。	1
40879	２日後、彼女は京都に向け出発します。	1
34536	数人の子供が公園で遊んでいる。	1
61485	車はいつ返したらよいでしょうか。	1
59552	これらのことを１度にしようとするな。	1
9380	僕は甘党だ。	0
1887	こういう次第だ。	0
22863	みんなにすばらしい知らせがあるんだ。	0
57496	彼は自分のカメラで私の写真を撮ってくれた。	1
50113	昨日まで１週間ずっと雨が降っていた。	1
52861	その町には市場がある。	1
36136	空はいつの間にか太陽がでなくなった。	1
59232	やってみたが、失敗しただけだった。	1
34238	彼は気が難しかった。	1
4449	君の提案には同意できないな。	0
29719	その事故について彼に質問した。	1
51147	その試合は明日の午後２時に始まる。	1
29855	医者は病気の子供のところで体を低くした。	1
31839	そこに行くよりむしろここにいる方がよい。	1
43553	私は夏の休みの日を利用して外国を旅行する。	1
12928	その歌は流行した。	0
16085	彼はたいていマクドナルドに行く。	0
46418	彼は映画館に行くことはまずない。	1
47562	私は彼らの要求を飲んだ。	1
13257	痛み止めを下さい。	0
2783	十分な食料があるか。	0
42839	彼女は時間通りこない。	1
29452	彼は私を１時間以上も待たせた。	1
54288	彼が時間通り来るかどうかは疑問に思う。	1
19755	テーブルを片付けなさい。	0
36751	彼は自分の選んだ女の人と結婚した。	1
46859	必ずその景色に感動するだろう。	1
57719	彼は日本の歴史に非常に興味を持っている。	1
30016	これらの本は新しい。	1
60888	どのくらい滞在しますか。	1
35716	僕は今日は元気がない。	1
60444	私の父はとても釣りがうまい。	1
18691	あの人たちが昨日あなたが会った方々ですか。	0
52620	メグに会ったらそのニュースを教えてくれた。	1
38253	夜を過ごしたいのですが。	1
55730	やっとその意味が分かった。	1
10147	そんなにたくさん食べるのはばかげたことだ。	0
58142	ついに彼女の医者になる夢は実現した。	1
7981	自分でその問題を解きなさい。	0
46497	すぐに出発しなさい。	1
60363	彼は私の特別な友達だと思っていた。	1
41569	どうぞ彼のために道を開けてください。	1
27726	ジョンは私たちの全ての中で一番頭がいいだ。	1
55571	私の机に体で力をかけないでください。	1
41543	彼は私のちょっとした冗談が分からない。	1
8252	父は今入院しています。	0
14932	メアリーはどうしようかと独り言をいった。	0
47457	私は彼を一番と認めた。	1
29083	私は銀行に行かなければならない。	1
22734	君の声は聞こえるが、姿は見えないよ。	0
39606	戦争でその国は古くなってしまった。	1
